[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_slam_toolbox_run_1,13.62%,0.97%,38.33MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.56%,0.56%,22.21MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.71%,1.09%,43.03MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.51%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.47%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.50%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.16%,0.58%,23.04MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.90%,0.97%,38.34MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.86%,0.56%,22.21MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,14.30%,1.09%,43.04MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.93%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.48%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.15%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.16%,0.58%,23.04MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.90%,0.97%,38.34MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.86%,0.56%,22.21MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,14.30%,1.09%,43.04MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.93%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.48%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.15%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.94%,0.58%,23.04MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.78%,0.97%,38.34MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.99%,0.56%,22.22MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.16%,1.09%,43.05MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.33%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.19%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.05%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.94%,0.58%,23.04MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.78%,0.97%,38.34MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.99%,0.56%,22.22MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.16%,1.09%,43.05MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.33%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.19%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.05%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,19.07%,0.58%,23.04MiB / 3.871GiB
